date,hour,miniute,end,meannumber
4,14,30,14,146.6788618
4,14,30,15,161.7621951
4,14,30,16,158.4979675
4,14,30,17,227.7134146
4,14,30,18,147.6239837
4,14,30,19,119.6199187
4,14,30,20,127.6666667
4,14,30,21,152.4247967
4,14,30,22,86.58739837
4,14,30,23,176.3191057
4,14,30,24,172.4695122
4,15,0,9,202.0203252
4,15,0,10,205.1219512
4,15,0,11,188.4085366
4,15,0,12,288.648374
4,15,0,13,163.5914634
4,15,0,14,144.8069106
4,15,0,15,160.4837398
4,15,0,16,158.7764228
4,15,0,17,228.2317073
4,15,0,18,148.3882114
4,15,0,19,122.2337398
4,15,0,20,131.4004065
4,15,0,21,155.7378049
4,15,0,22,88.16056911
4,15,0,23,179.4065041
4,15,0,24,179.8739837
4,15,30,9,210.304878
4,15,30,10,208.0345528
4,15,30,11,194.1808943
4,15,30,12,299.3109756
4,15,30,13,172.5243902
4,15,30,14,154.0569106
4,15,30,15,166.7317073
4,15,30,16,163.8130081
4,15,30,17,232.695122
4,15,30,18,151.7134146
4,15,30,19,127.3272358
4,15,30,20,136.6971545
4,15,30,21,162.9573171
